ID;Var;Dormancy;Box;LT;BiomassCut;BiomassFin;0;8;10;13;17;20
M16;MARINA;7;4;S;0,5968;0,6693;5005;4024;4614;7818;8698;9370
M17;MARINA;7;4;S;0,3301;0,7528;7269;6020;7021;11328;9207;10213
M18;MARINA;7;4;S;0,5833;1,15;7067;8491;10070;13592;13464;13977
M19;MARINA;7;2;C;0,1729;0,2218;4998;4247;1612;2844;3140;3290
M20;MARINA;7;1;C;0,5951;0,6271;14886;6609;6579;7601;7197;6957
M21;MARINA;7;2;C;0,6407;0,7906;9680;7713;8552;13224;9563;11174
M22;MARINA;7;4;S;0,6075;0,7779;9833;5088;7407;12213;11280;10839
M23;MARINA;7;1;C;0,5726;0,6441;14286;8053;7879;10555;10074;9729
M24;MARINA;7;3;S;0,8112;0,4085;7081;3283;3461;4070;3693;3392
M25;MARINA;7;3;S;0,4271;0,5244;2753;4050;4153;7314;7005;7290
M26;MARINA;7;2;C;0,665;0,6711;8233;6274;7222;9954;8523;9105
M27;MARINA;7;1;C;0,3023;0,9007;13053;7642;9206;10682;11013;12246
M28;MARINA;7;2;C;0,6199;0,7207;6065;6029;6528;9959;9191;9513
M29;MARINA;7;1;C;0,787;0,7978;6806;5698;5773;9386;9441;9187
M30;MARINA;7;4;S;0,641;0,552;3858;3740;4185;6583;6754;8252
B1;BARVINCE;7;1;C;0,2831;0,422;3471;3539;3932;5479;5686;6097
B2;BARVINCE;7;1;C;0,229;0,3265;4002;3619;3962;5149;5518;5829
B3;BARVINCE;7;3;S;0,5359;0,7627;3063;3638;5119;9328;8175;9328
B4;BARVINCE;7;3;S;0,2207;0,5362;4599;4655;5082;8554;7763;8338
B5;BARVINCE;7;3;S;0,4172;0,4598;3390;3802;4424;5418;4726;4328
B6;BARVINCE;7;2;C;0,3168;0,4945;2936;3522;4075;5457;7602;7467
B7;BARVINCE;7;3;S;0,8064;0,4927;5823;3847;3400;4482;3968;4390
B8;BARVINCE;7;2;C;0,3791;0,6425;4808;4222;5140;8305;7717;8970
B9;BARVINCE;7;4;S;0,3556;0,6255;;3542;4224;5981;6054;9419
B10;BARVINCE;7;3;S;0,4785;0,7741;7021;6848;7658;11960;11707;11364
B11;BARVINCE;7;2;C;0,44;0,6205;3956;5231;5072;8566;9618;10195
B12;BARVINCE;7;3;S;0,5457;0,3772;3974;4494;5918;8195;8398;9787
B13;BARVINCE;7;1;C;0,157;0,8637;4166;3829;2346;3280;2993;3356
B14;BARVINCE;7;2;C;0,049;0,2298;1769;4169;1606;2191;2302;2603
B15;BARVINCE;7;2;C;0,0885;0,1312;2140;2843;2335;3597;4527;3996
B16;BARVINCE;7;4;S;0,184;0,1991;2464;2226;2571;3763;5638;4785
B17;BARVINCE;7;4;S;0,1991;0,3241;2281;3169;3959;5504;4922;5513
B18;BARVINCE;7;1;C;0,2286;0,4587;5592;4733;4489;7387;7325;7256
B19;BARVINCE;7;1;C;0,377;0,4152;4308;3935;3995;5635;5690;5349
B20;BARVINCE;7;4;S;0,3323;0,4912;7459;2939;3615;5744;5529;6201
B21;BARVINCE;7;1;C;0,0996;0,2503;2072;2064;2075;3409;3391;4125
B22;BARVINCE;7;3;S;0,4329;0,4224;3277;3126;3901;5572;5882;5939
B23;BARVINCE;7;2;C;0,0962;0,2675;3839;;2665;4025;4146;4991
B24;BARVINCE;7;4;S;0,2878;0,5798;5863;4405;4478;7593;7517;9765
B25;BARVINCE;7;2;C;0,1091;0,1799;2620;2170;2119;;3595;3831
B26;BARVINCE;7;4;S;0,2011;0,4354;2743;3114;3828;6244;6404;8113
B27;BARVINCE;7;4;S;0,1193;0,3892;2439;2422;3047;5177;5362;6388
B28;BARVINCE;7;1;C;0,3158;0,4577;6617;;5108;6804;7490;8009
B29;BARVINCE;7;4;S;0,5694;1,0079;3837;6104;7272;11578;11058;14879
B30;BARVINCE;7;3;S;0,394;0,5592;2960;5129;3780;6137;5970;6403
