ID;Var;Dormancy;Box;LT;VisualPhenotype;MaxLength;NbRamif;IDramif;Origin;RamifLength;NbLeaves;MeanInternodeLengthRamif
B14;BARVINCE;7;2;C;M;10;2;B14R2;B;5;5;1
B14;BARVINCE;7;2;C;M;10;3;B14R3;B;10;5;2
B14;BARVINCE;7;2;C;M;10;4;B14R4;C;5;5;1
B14;BARVINCE;7;2;C;M;10;5;B14R5;C;8,5;6;1,416666667
B14;BARVINCE;7;2;C;M;10;6;B14R6;C;1;4;0,25
B15;BARVINCE;7;2;C;B;17,5;1;B15R1;C;17,5;8;2,1875
B15;BARVINCE;7;2;C;B;17,5;2;B15R2;C;0,5;3;0,166666667
B15;BARVINCE;7;2;C;B;17,5;3;B15R3;C;1;4;0,25
B15;BARVINCE;7;2;C;B;17,5;4;B15R4;C;5;5;1
B15;BARVINCE;7;2;C;B;17,5;5;B15R5;C;8;7;1,142857143
B15;BARVINCE;7;2;C;B;17,5;6;B15R6;C;5;4;1,25
B16;BARVINCE;7;4;S;E;20;1;B16R1;B;7;6;1,166666667
B16;BARVINCE;7;4;S;E;20;2;B16R2;B;3;4;0,75
B16;BARVINCE;7;4;S;E;20;3;B16R3;C;20;8;2,5
B16;BARVINCE;7;4;S;E;20;4;B16R4;C;8;8;1
B16;BARVINCE;7;4;S;E;20;5;B16R5;C;2;7;0,285714286
B17;BARVINCE;7;4;S;E;21;1;B17R1;B;5;5;1
B17;BARVINCE;7;4;S;E;21;2;B17R2;B;21;10;2,1
B17;BARVINCE;7;4;S;E;21;3;B17R3;C;0,1;2;0,05
B18;BARVINCE;7;1;C;B;13;1;B18R1;B;8;7;1,142857143
B18;BARVINCE;7;1;C;B;13;2;B18R2;B;13;9;1,444444444
B18;BARVINCE;7;1;C;B;13;3;B18R3;B;5;6;0,833333333
B18;BARVINCE;7;1;C;B;13;4;B18R4;C;0,5;4;0,125
B18;BARVINCE;7;1;C;B;13;5;B18R5;C;0,5;4;0,125
B18;BARVINCE;7;1;C;B;13;6;B18R6;C;0,5;4;0,125
B18;BARVINCE;7;1;C;B;13;7;B18R7;C;6;7;0,857142857
B18;BARVINCE;7;1;C;B;13;8;B18R8;C;9;8;1,125
B18;BARVINCE;7;1;C;B;13;9;B18R9;C;4;6;0,666666667
B18;BARVINCE;7;1;C;B;13;10;B18R10;C;3;6;0,5
B18;BARVINCE;7;1;C;B;13;11;B18R11;C;0,1;5;0,02
B19;BARVINCE;7;1;C;E;21;1;B19R1;B;21;9;2,333333333
B19;BARVINCE;7;1;C;E;21;2;B19R2;C;15,5;8;1,9375
B19;BARVINCE;7;1;C;E;21;3;B19R3;C;16;8;2
B19;BARVINCE;7;1;C;E;21;4;B19R4;C;8;8;1
B19;BARVINCE;7;1;C;E;21;5;B19R5;C;5;6;0,833333333
B19;BARVINCE;7;1;C;E;21;6;B19R6;C;4,5;7;0,642857143
B20;BARVINCE;7;4;S;B;14;1;B20R1;B;14;8;1,75
B20;BARVINCE;7;4;S;B;14;2;B20R2;B;3,5;7;0,5
B20;BARVINCE;7;4;S;B;14;3;B20R3;B;9;6;1,5
B20;BARVINCE;7;4;S;B;14;4;B20R4;C;6;6;1
B20;BARVINCE;7;4;S;B;14;5;B20R5;C;1;3;0,333333333
B20;BARVINCE;7;4;S;B;14;6;B20R6;C;1;4;0,25
B20;BARVINCE;7;4;S;B;14;7;B20R7;C;4,5;6;0,75
B20;BARVINCE;7;4;S;B;14;8;B20R8;C;1;3;0,333333333
