ID;Var;Dormancy;Box;LT;LAI0;LAI8;LAI10;LAI13;LAI17;LAI20;LAI23
M1;MARINA;7;2;C;0,891790526;0,854979858;0,778580358;1;0,896374496;0,87317683;0,921794694
M2;MARINA;7;3;S;0,499730119;0,465725081;0,490374235;0,792911119;0,838880892;0,870546959;1
M3;MARINA;7;1;C;0,723141951;;0,593871081;0,816660796;0,887460373;0,92197957;1
M4;MARINA;7;3;S;0,334496379;0,450230415;0,529361422;0,863001975;0,675049375;0,83403555;1
M5;MARINA;7;3;S;0,383783784;0,504791155;0,644226044;1;0,743980344;0,938820639;0,997174447
M6;MARINA;7;2;C;0,748091058;0,461571398;0,545136659;0,80168415;0,782559052;0,91151074;1
M7;MARINA;7;4;S;0,374002483;0,398120234;0,476857599;0,862564284;0,939882958;0,891470119;1
M8;MARINA;7;1;C;0,897105816;0,589792751;0,627681914;1;0,933351593;0,867250981;0,881311056
M9;MARINA;7;3;S;0,358227283;0,395735655;0,419624916;0,663317705;0,721701273;0,902768475;1
M10;MARINA;7;3;S;0,751923077;0,702036199;0,717420814;0,990045249;0,856221719;0,827036199;1
M11;MARINA;7;2;C;0,459325306;0,54738487;0,643441493;1;0,800165456;0,73297178;0,833808254
M12;MARINA;7;1;C;;0,366988328;0,385655893;0,658927142;0,582276347;0,553200455;0,609877376
M13;MARINA;7;3;S;0,45099172;0,569420374;0,467552474;0,814558059;0,825919507;0,931638744;1
M14;MARINA;7;1;C;;0,509171307;0,521618081;0,751064527;0,756469047;0,706190632;0,709629872
M15;MARINA;7;4;S;0,382840822;0,326705482;0,414698451;0,685158739;0,758760848;0,779083819;1
M16;MARINA;7;4;S;0,522279036;0,419910258;0,481477617;0,815819681;0,907648962;0,97777314;1
M17;MARINA;7;4;S;0,59039961;0,488953866;0,57025666;0,920077973;0,747807018;0,829515919;1
M18;MARINA;7;4;S;0,50561637;0,607498032;0,720469342;0,972454747;0,963296845;1;0,965085498
M19;MARINA;7;2;C;;0,849739896;0,322529012;0,569027611;0,628251301;0,658263305;0,849339736
M20;MARINA;7;1;C;;0,443974204;0,441958888;0,510614;0,483474405;0,467351874;0,542321644
M21;MARINA;7;2;C;0,73200242;0,583257713;0,646702964;1;0,72315487;0,844978826;0,816621295
M22;MARINA;7;4;S;0,805125686;0,416605257;0,606484893;1;0,923605994;0,88749693;0,993285843
M23;MARINA;7;1;C;;0,563698726;0,55151897;0,738835223;0,705165897;0,68101638;0,738905222
M24;MARINA;7;3;S;;0,46363508;0,488772772;0,574777574;0,521536506;0,479028386;0,583815845
M25;MARINA;7;3;S;0,342540749;0,503919373;0,5167351;0,91004106;0,871593878;0,907054871;1
M26;MARINA;7;2;C;0,827104682;0,630299377;0,725537472;1;0,856238698;0,914707655;0,854530842
M27;MARINA;7;1;C;;0,585459281;0,70527848;0,818355934;0,843714089;0,938175132;0,958247146
M28;MARINA;7;2;C;0,537248649;0,534059704;0,578262025;0,882186199;0,814155372;0,842678714;1
M29;MARINA;7;1;C;0,678631967;0,568152358;0,575630671;0,935885931;0,941370027;0,916043474;1
M30;MARINA;7;4;S;0,467523025;0,453223461;0,507149782;0,797746001;0,81846825;1;0,91917111
B1;BARVINCE;7;1;C;0,492969749;0,502627468;0,558443403;0,778156512;0,807555745;0,865928135;1
B2;BARVINCE;7;1;C;0,627863194;0,567775337;0,6215877;0,80781299;0,865704424;0,914496392;1
B3;BARVINCE;7;3;S;0,290966087;0,345587537;0,486273392;0,886102403;0,776574523;0,886102403;1
B4;BARVINCE;7;3;S;0,491241188;0,497222816;0,542832728;0,913693655;0,829203162;0,890621662;1
B5;BARVINCE;7;3;S;0,585998271;0,65721694;0,764736387;0,936560069;0,816940363;0,748141746;1
B6;BARVINCE;7;2;C;0,321577218;0,385761227;0,446330778;0,59769989;0,83263965;0,817853231;1
B7;BARVINCE;7;3;S;;0,660656019;0,583891465;0,769706337;0,681435686;0,753906921;0,779838571
B8;BARVINCE;7;2;C;0,517936012;0,454809867;0,553700312;0,894646127;0,831304535;0,966282452;1
B9;BARVINCE;7;4;S;;0,360362194;0,429748703;0,608505443;0,615932445;0,958286703;1
B10;BARVINCE;7;3;S;0,530768068;0,517689749;0,578923496;0,904142728;0,885016631;0,859086786;1
