ID;Var;Dormancy;Box;LT;Time;LAI;MaxLAI
L17;LUZELLE;2;2;C;10;2065;4724
L18;LUZELLE;2;2;C;10;3354;5347
L19;LUZELLE;2;4;S;10;3748;10124
L20;LUZELLE;2;2;C;10;4620;9817
L21;LUZELLE;2;1;C;10;3944;7773
L22;LUZELLE;2;2;C;10;3575;7447
L23;LUZELLE;2;4;S;10;1461;4028
L24;LUZELLE;2;1;C;10;2424;4098
L25;LUZELLE;2;1;C;10;4451;6877
L26;LUZELLE;2;4;S;10;4582;9513
L27;LUZELLE;2;3;S;10;2811;3741
L28;LUZELLE;2;3;S;10;4102;6672
L29;LUZELLE;2;1;C;10;2957;5431
L30;LUZELLE;2;1;C;10;1572;3938
A1;ANTANE;2;3;S;10;3995;6347
A2;ANTANE;2;1;C;10;7081;10077
A3;ANTANE;2;3;S;10;4021;4701
A4;ANTANE;2;4;S;10;2410;5487
A5;ANTANE;2;4;S;10;4413;8499
A6;ANTANE;2;4;S;10;5098;6261
A7;ANTANE;2;2;C;10;5188;7743
A8;ANTANE;2;2;C;10;6529;12447
A9;ANTANE;2;2;C;10;6415;11379
A10;ANTANE;2;1;C;10;9530;13034
A11;ANTANE;2;2;C;10;10080;12144
A12;ANTANE;2;1;C;10;3487;7236
A13;ANTANE;2;2;C;10;2227;5247
A14;ANTANE;2;3;S;10;5535;7239
A15;ANTANE;2;3;S;10;6379;7361
A16;ANTANE;2;3;S;10;2180;5873
A17;ANTANE;2;3;S;10;7921;10324
A18;ANTANE;2;2;C;10;11064;15046
A19;ANTANE;2;1;C;10;10370;14641
A20;ANTANE;2;4;S;10;2158;7004
A21;ANTANE;2;1;C;10;6508;9056
A22;ANTANE;2;1;C;10;5414;8617
A23;ANTANE;2;1;C;10;2119;5094
A24;ANTANE;2;3;S;10;5152;6790
A25;ANTANE;2;4;S;10;6908;10564
A26;ANTANE;2;2;C;10;4603;8203
A27;ANTANE;2;3;S;10;5302;9762
A28;ANTANE;2;1;C;10;3768;8521
A29;ANTANE;2;4;S;10;6363;10988
A30;ANTANE;2;4;S;10;8433;12883
M1;MARINA;7;2;C;10;5605;7199
M2;MARINA;7;3;S;10;5451;11116
M3;MARINA;7;1;C;10;3372;5678
M4;MARINA;7;3;S;10;8041;15190
M5;MARINA;7;3;S;10;5244;8140
M6;MARINA;7;2;C;10;7639;14013
M7;MARINA;7;4;S;10;2689;5639
M8;MARINA;7;1;C;10;6875;10953
M9;MARINA;7;3;S;10;3759;8958
M10;MARINA;7;3;S;10;6342;8840
M11;MARINA;7;2;C;10;7000;10879
M12;MARINA;7;1;C;10;9152;15637
M13;MARINA;7;3;S;10;2428;5193
M14;MARINA;7;1;C;10;3185;4619
M15;MARINA;7;4;S;10;3775;9103
M16;MARINA;7;4;S;10;4614;9583
M17;MARINA;7;4;S;10;7021;12312
M18;MARINA;7;4;S;10;10070;13977
M19;MARINA;7;2;C;10;1612;4247
M20;MARINA;7;1;C;10;6579;8073
M21;MARINA;7;2;C;10;8552;13224
M22;MARINA;7;4;S;10;7407;12213
M23;MARINA;7;1;C;10;7879;10556
M24;MARINA;7;3;S;10;3461;4134
M25;MARINA;7;3;S;10;4153;8037
M26;MARINA;7;2;C;10;7222;9954
M27;MARINA;7;1;C;10;9206;12508
M28;MARINA;7;2;C;10;6528;11289
M29;MARINA;7;1;C;10;5773;10029
M30;MARINA;7;4;S;10;4185;8252
B1;BARVINCE;7;1;C;10;3932;7041
B2;BARVINCE;7;1;C;10;3962;6374
B3;BARVINCE;7;3;S;10;5119;10527
B4;BARVINCE;7;3;S;10;5082;9362
B5;BARVINCE;7;3;S;10;4424;5785
B6;BARVINCE;7;2;C;10;4075;9130
B7;BARVINCE;7;3;S;10;3400;4541
B8;BARVINCE;7;2;C;10;5140;9283
B9;BARVINCE;7;4;S;10;4224;9829
B10;BARVINCE;7;3;S;10;7658;13228
B11;BARVINCE;7;2;C;10;5072;11955
B12;BARVINCE;7;3;S;10;5918;10548
B13;BARVINCE;7;1;C;10;2346;3829
B14;BARVINCE;7;2;C;10;1606;4169
B15;BARVINCE;7;2;C;10;2335;4527
B16;BARVINCE;7;4;S;10;2571;5907
B17;BARVINCE;7;4;S;10;3959;5801
B18;BARVINCE;7;1;C;10;4489;7594
B19;BARVINCE;7;1;C;10;3995;6520
B20;BARVINCE;7;4;S;10;3615;6410
B21;BARVINCE;7;1;C;10;2075;4774
B22;BARVINCE;7;3;S;10;3901;7324
B23;BARVINCE;7;2;C;10;2665;4991
B24;BARVINCE;7;4;S;10;4478;10306
B25;BARVINCE;7;2;C;10;2119;4073
B26;BARVINCE;7;4;S;10;3828;9810
B27;BARVINCE;7;4;S;10;3047;7722
B28;BARVINCE;7;1;C;10;5108;8318
